run,iteration,n_estimators,max_depth,max_samples,max_features,mae,rmse
1,2,50,10,0.25,0.25,88099162.56491199,199512161.8265442
1,2,50,10,0.25,0.5,89009610.14056268,197016548.59277353
1,2,50,10,0.25,0.75,94271967.64034134,206997936.08903664
1,2,50,10,0.25,1.0,87863426.1120347,189853130.06983984
1,2,50,10,0.5,0.25,88822357.54075201,185966134.91963044
1,2,50,10,0.5,0.5,83940665.845832,178415399.21531776
1,2,50,10,0.5,0.75,82042258.85150935,182249901.47775838
1,2,50,10,0.5,1.0,80094864.22252537,171643987.1994569
1,2,50,10,0.75,0.25,76420589.27000536,174422450.07906613
1,2,50,10,0.75,0.5,85560805.51387466,180424720.20988888
1,2,50,10,0.75,0.75,92411476.62490936,206466408.5608434
1,2,50,10,0.75,1.0,90422538.661416,194188338.6201297
1,2,50,10,1.0,0.25,78726321.94729865,178719431.9898642
1,2,50,10,1.0,0.5,79769547.43496,181412268.27203232
1,2,50,10,1.0,0.75,87711006.85699467,191192423.8866051
1,2,50,10,1.0,1.0,86364497.63513868,190056508.07763556
1,2,50,15,0.25,0.25,88418889.86461067,191262898.63985133
1,2,50,15,0.25,0.5,79869007.33626135,176893588.34805617
1,2,50,15,0.25,0.75,79875340.41510133,179902677.41718805
1,2,50,15,0.25,1.0,83795424.10747735,186098336.4221908
1,2,50,15,0.5,0.25,82763117.33644265,185793247.21203324
1,2,50,15,0.5,0.5,81735628.98084266,181339700.52769515
1,2,50,15,0.5,0.75,93810801.548832,197306534.21976486
1,2,50,15,0.5,1.0,86772383.49106665,198077585.8696081
1,2,50,15,0.75,0.25,78447712.89705068,177362444.376091
1,2,50,15,0.75,0.5,91674524.18566132,192742593.52952382
1,2,50,15,0.75,0.75,95292840.96188267,202571768.80774426
1,2,50,15,0.75,1.0,90595184.8770427,198553114.64718804
1,2,50,15,1.0,0.25,78133223.6196347,171034194.15088883
1,2,50,15,1.0,0.5,92206762.809384,193009085.6522899
